Crash Cove,Mystery Caves,Sewer Speedway,Roo's Tubes,Slide Coliseum,Turbo Track,Coco Park,Tiger Temple,Papu's Pyramid,Dingo Canyon,Polar Pass,Tiny Arena,Dragon Mines,Blizzard Bluff,Hot Air Skyway,Cortex Castle,N.Gin Labs,Oxide Station,Inferno Island,Jungle Boogie,Clockwork Wumpa,Android Alley,Electron Avenue,Deep Sea Driving,Thunder Struck,Tiny Temple,Meteor Gorge,Barin Ruins,Out of Time,Assembly Lane,Hyper Spaceway,Retro Stadium,Twilight Tour,Prehistoric Playground,Spyro Circuit,Nina's Nightmare,Koala Carnival,Gingerbread Joyride
Wajsia,160.6593017578125,161.8310546875,107.006103515625,71.67138671875,116.05029296875,76.04345703125,115.6812744140625,79.0125732421875,109.74365234375,87.6883544921875,87.7183837890625,180.479736328125,116.382080078125,137.4696044921875,109.2081298828125,93.225341796875,78.3134765625,102.3704833984375,85.6846923828125,117.9190673828125,131.231689453125,112.4774169921875,123.52197265625,172.3045654296875,87.3577880859375,121.1207275390625,147.547607421875,106.8404541015625,76.47314453125,107.2412109375,102.9359130859375,134.2349853515625,132.298583984375,89.2550048828125,188.655029296875,100.032958984375,97.7965087890625,136.5013427734375
mati1212,149.5516357421875,144.4132080078125,102.6043701171875,70.5716552734375,117.6868896484375,76.1097412109375,111.98095703125,78.1787109375,99.267822265625,86.4219970703125,77.8780517578125,182.3841552734375,114.21533203125,130.49853515625,108.3084716796875,93.1949462890625,73.676025390625,97.9334716796875,83.916259765625,114.7498779296875,133.0028076171875,109.04296875,114.1478271484375,161.095458984375,87.3551025390625,120.3533935546875,141.77685546875,95.29736328125,75.6080322265625,104.6058349609375,99.7325439453125,132.0662841796875,116.9854736328125,86.5528564453125,178.71337890625,99.4007568359375,90.79150390625,131.633544921875
myjniak,150.2833251953125,144.9132080078125,104.505615234375,70.70458984375,114.748046875,77.2445068359375,111.011962890625,78.679443359375,102.6693115234375,90.79150390625,78.179443359375,183.8175048828125,113.8472900390625,131.5992431640625,107.541748046875,95.6290283203125,76.410400390625,100.9022216796875,85.118408203125,117.3170166015625,131.0989990234375,112.3128662109375,113.6142578125,162.9312744140625,84.5538330078125,121.1900634765625,151.1864013671875,106.5421142578125,75.4415283203125,105.505126953125,99.5997314453125,137.6387939453125,115.2493896484375,88.4224853515625,179.0477294921875,99.6666259765625,93.927978515625,133.1009521484375
