"06:50PM April 10, 2020",Beenox,kubalok25,Jakub_Luk,Viarus_PL,Krisao_,VitzkyGG,Gojson,Mathis333PL,NadinWins,zigus33,R0G4L1CZ3K
Total Time,74:07.940,79:49.832,81:50.135,80:46.332,81:51.925,82:10.770,89:54.368,90:13.738,84:01.727,89:16.999,102:51.304
""
POINT SYSTEM,,,,,ANNOUNCEMENTS
1st,1:00.00,10p,,,Velo HAS ASCENDED TO Platinum Tier!
2nd,1:00.00,8p,,,kubalok25 entered the Platinum Tier
3rd,1:00.00,6p,,,kubalok25 entered the Platinum Tier
4th,1:00.00,5p,,,Krisao_ gets SILVER medal on Crash Cove!
5th,1:00.00,4p,,,Jakub_Luk gets GOLD medal on Prehistoric Playground!
6th,1:00.00,3p,,,DIEdaara HAS ASCENDED TO Platinum Tier!
7th,1:00.00,2p,,,kubalok25 gets GOLD medal on Cortex Castle!
8th,1:00.00,1p,,,Krisao_ gets SILVER medal on Spyro Circuit!
>8th,1:00.00,0p,,,Krisao_ gets BRONZE medal on Hyper Spaceway!
